Country,Date,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent
Sudan,27-02-2022,"61,376",,"3,901 ",,"40,329",,"17,146",,"1,348",86,"562,941","12,360","45,545,025 ",Africa
Brunei ,27-02-2022,"59,447","+3,962",121 ,+4,"31,022","+3,495","28,304",,"133,762",272,"712,994","1,604,314","444,423 ",Asia
Mauritania,27-02-2022,"58,632",+3,979 ,,"57,602",+5,51,30,"12,084",202,"743,798","153,296","4,852,051 ",Africa
Belize,27-02-2022,"56,597",,650 ,,"54,453",,"1,494", 6,"138,180","1,587","499,451","1,219,399","409,588 ",North America
Cabo Verde,27-02-2022,"55,882",+1,401 ,,"55,409",+2,72,23,"98,732",708,"400,982","708,453","565,997 ",Africa
Barbados,27-02-2022,"55,031",+129,315 ,+2,"52,253",,"2,463",,"191,108","1,094","584,756","2,030,699","287,958 ",North America
Syria,27-02-2022,"54,480",+100,"3,071 ",+3,"46,933",+205,"4,476",,"2,993",169,"146,269","8,035","18,204,773 ",Asia
New Caledonia,27-02-2022,"53,007",,299 ,,"42,318",,"10,390",35,"182,753","1,031","98,964","341,199","290,048 ",Australia/Oceania
Channel Islands,27-02-2022,"50,384",,143 ,,"47,633",,"2,608",,"285,429",810,"1,207,943","6,843,094","176,520 ",Europe
Gabon,27-02-2022,"47,534",+14,303 ,,"46,155",+412,"1,076",1,"20,553",131,"1,569,625","678,692","2,312,720 ",Africa
Papua New Guinea,27-02-2022,"41,038",,638 ,,"38,856",,"1,544",7,"4,447",69,"249,149","27,000","9,227,822 ",Australia/Oceania
Seychelles,27-02-2022,"39,336",,163 ,,"38,731",,442,,"395,910","1,641",,,"99,356 ",Africa
Curaçao,27-02-2022,"38,933",+18,261 ,,"38,352",+46,320,3,"235,663","1,580","492,011","2,978,167","165,206 ",North America
Burundi,27-02-2022,"38,063",,38 ,,773,,"37,252",,"3,051",3,"345,742","27,710","12,477,114 ",Africa
Andorra,27-02-2022,"37,999",,151 ,,"37,135",,713,14,"490,500","1,949","249,838","3,224,965","77,470 ",Europe
Togo,27-02-2022,"36,798",,272 ,,"36,410",,116,,"4,279",32,"689,248","80,144","8,600,099 ",Africa
Mayotte,27-02-2022,"36,662",,187 ,,"2,964",,"33,511",,"129,220",659,"176,919","623,576","283,717 ",Africa
Guinea,27-02-2022,"36,393",,440 ,,"32,939",,"3,014",49,"2,652",32,"587,607","42,820","13,722,669 ",Africa
Faeroe Islands,27-02-2022,"34,237","+2,193",28 ,+4,"7,693",,"26,516",5,"696,284",569,"778,000","15,822,334","49,171 ",Europe
Aruba,27-02-2022,"33,676",,211 ,,"33,406",,59,6,"313,213","1,962","177,885","1,654,467","107,518 ",North America
Tanzania,27-02-2022,"33,620",,798 , ,N/A,N/A,N/A,7,537,13,,,"62,551,409 ",Africa
Bahamas,27-02-2022,"33,129",+21,771 ,,"26,221",+24,"6,137",9,"82,932","1,930","220,066","550,891","399,473 ",North America
Lesotho,27-02-2022,"32,612",,696 ,,"23,343",,"8,573",,"15,026",321,"398,053","183,401","2,170,402 ",Africa
Mauritius,27-02-2022,"30,858",,786 ,,"27,008",,"3,064",,"24,197",616,"358,675","281,255","1,275,267 ",Africa
Mali,27-02-2022,"30,378",+7,722 ,,"29,470",+19,186,,"1,432",34,"620,934","29,266","21,216,600 ",Africa
Haiti,27-02-2022,"30,342",+2,820 ,," 25,210",+2,"4,312",,"2,608",70,"132,422","11,383","11,632,922 ",North America
Benin,27-02-2022,"26,567",,163 ,,"25,506",,898,5,"2,100",13,"604,310","47,775","12,649,051 ",Africa
Somalia,27-02-2022,"26,313",,"1,348 ",,"13,182",,"11,783",,"1,583",81,"400,466","24,085","16,627,432 ",Africa
Congo,27-02-2022,"23,967",,378 ,,"20,178",,"3,411",,"4,173",66,"347,815","60,563","5,743,034  ",Africa
Isle of Man,27-02-2022,"22,776",+69,79 ,,"22,315",+52,382,,"265,520",921,"150,753","1,757,458","85,779 ",Europe
Timor-Leste,27-02-2022,"22,668",+19,128 ,,"22,008", +66,532,9,"16,667",94,"248,770","182,912","1,360,050 ",Asia
Saint Lucia,27-02-2022,"22,667",+18,358 ,,"22,092",+112,217,4,"122,512","1,935","135,214","730,815","185,018 ",North America
Burkina Faso,27-02-2022,"20,751",,375 ,,"20,309",,67,,950,17,"248,995","11,394","21,852,404 ",Africa
Taiwan,27-02-2022,"20,433",+60,853 ,,"18,338",+48,"1,242",,855,36,"11,566,532","484,193","23,888,249 ",Asia
Cayman Islands,27-02-2022,"19,373",,17 ,,"8,553",,"10,803",2,"289,145",254,"222,773","3,324,921","67,001 ",North America
Nicaragua,27-02-2022,"18,004",,220 ,,"4,225",,"13,559",,"2,665",33,,,"6,755,191 ",North America
Tajikistan,27-02-2022,"17,388",,124 ,,"17,263",,1,,"1,758",13,,,"9,892,489 ",Asia
South Sudan,27-02-2022,"16,955",,137 ,,"13,250",,"3,568",1,"1,486",12,"338,083","29,627","11,411,252 ",Africa
Equatorial Guinea,27-02-2022,"15,877",,182 ,,"15,653",,42,5,"10,733",123,"273,437","184,844","1,479,284 ",Africa
Djibouti,27-02-2022,"15,547",,189 ,,"15,352",,6,,"15,366",187,"284,842","281,517","1,011,811 ",Africa
Gibraltar,27-02-2022,"15,313",,101 ,,"14,599",,613,10," 454,743","2,999","513,118","15,237,810","33,674 ",Europe
San Marino,27-02-2022,"14,207",,112 ,,"13,703",,392,4,"417,252","3,289","134,668","3,955,123","34,049 ",Europe
CAR,27-02-2022,"14,187",,113 ,,"6,859",,"7,215",2,"2,855",23,"81,294","16,361","4,968,909 ",Africa
